rx_id,npi,prescriber_name,product,trx,week_start,site_name,site_address_line1,site_address_line2,site_city,site_state,site_zip
RX00001,1000000001,"Mia A. Mitchell, MD",wht what ,23,2026-01-05,MGB Dermatology Network - South End,375 Harrison Ave,Ste 2A,Boston,MA,02118
RX00002,1000000001,"Mia A. Mitchell, MD",ECZEMABIO,15,2026-01-12,MGB Dermatology Network - South End,375 Harrison Ave,Ste 2A,Boston,MA,02118
RX00003,1000000001,"Mia A. Mitchell, MD",ECZEMABIO,16,2026-01-19,MGB Dermatology Network - South End,375 Harrison Ave,Ste 2A,Boston,MA,02118
RX00004,1000000001,"Mia A. Mitchell, MD",ECZEMABIO,21,2026-01-26,MGB Dermatology Network - South End,375 Harrison Ave,Ste 2A,Boston,MA,02118
RX00005,1000000001,"Mia A. Mitchell, MD",ECZEMABIO,23,2026-02-02,MGB Dermatology Network - South End,375 Harrison Ave,Ste 2A,Boston,MA,02118
RX00006,1000000001,"Mia A. Mitchell, MD",ECZEMABIO,8,2026-02-09,MGB Dermatology Network - South End,375 Harrison Ave,Ste 2A,Boston,MA,02118
RX00007,1000000001,"Mia A. Mitchell, MD",ECZEMABIO,20,2026-02-16,MGB Dermatology Network - South End,375 Harrison Ave,Ste 2A,Boston,MA,02118
RX00008,1000000001,"Mia A. Mitchell, MD",ECZEMABIO,18,2026-02-23,MGB Dermatology Network - South End,375 Harrison Ave,Ste 2A,Boston,MA,02118
RX00009,1000000001,"Mia A. Mitchell, MD",ECZEMABIO,20,2026-03-02,MGB Dermatology Network - South End,375 Harrison Ave,Ste 2A,Boston,MA,02118
RX00010,1000000002,"Nina C. Anderson, MD",ECZEMABIO,5,2026-01-05,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00011,1000000002,"Nina C. Anderson, MD",ECZEMABIO,1,2026-01-12,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00012,1000000002,"Nina C. Anderson, MD",ECZEMABIO,6,2026-01-19,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00013,1000000002,"Nina C. Anderson, MD",ECZEMABIO,3,2026-01-26,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00014,1000000002,"Nina C. Anderson, MD",ECZEMABIO,1,2026-02-02,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00015,1000000002,"Nina C. Anderson, MD",ECZEMABIO,4,2026-02-09,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00016,1000000002,"Nina C. Anderson, MD",ECZEMABIO,4,2026-02-16,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00017,1000000002,"Nina C. Anderson, MD",ECZEMABIO,0,2026-02-23,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00018,1000000002,"Nina C. Anderson, MD",ECZEMABIO,3,2026-03-02,Fenway Dermatology Associates,401 Park Dr,Suite 2,Boston,MA,02215
RX00019,1000000003,"Lucas A. Patel, MD",ECZEMABIO,4,2026-01-05,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00020,1000000003,"Lucas A. Patel, MD",ECZEMABIO,4,2026-01-12,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00021,1000000003,"Lucas A. Patel, MD",ECZEMABIO,5,2026-01-19,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00022,1000000003,"Lucas A. Patel, MD",ECZEMABIO,0,2026-01-26,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00023,1000000003,"Lucas A. Patel, MD",ECZEMABIO,0,2026-02-02,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00024,1000000003,"Lucas A. Patel, MD",ECZEMABIO,5,2026-02-09,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
RX00025,1000000003,"Lucas A. Patel, MD",ECZEMABIO,3,2026-02-16,MGB Dermatology Network - Seaport,88 Seaport Blvd,Ste 250,Boston,MA,02210
